NodeID,S3_Min,X,Y,Z
197,-426.0990933731447,98.0,8.0,0.0
198,-404.0565524676374,96.0,8.0,0.0
199,-381.4742636208857,94.0,8.0,0.0
200,-358.41500290427126,92.0,8.0,0.0
201,-334.864110436287,90.0,8.0,0.0
202,-310.8374726387019,88.0,8.0,0.0
203,-286.41761822422296,86.0,8.0,0.0
204,-261.56394466776607,84.0,8.0,0.0
205,-236.27080714917764,82.0,8.0,0.0
206,-210.63110386591188,80.0,8.0,0.0
207,-184.62148517382244,78.0,8.0,0.0
208,-158.3362960177467,76.0,8.0,0.0
209,-131.91460696715293,74.0,8.0,0.0
210,-105.68332266253599,72.0,8.0,0.0
211,-83.66127026801797,70.0,8.0,0.0
212,-91.13419996796551,68.0,8.0,0.0
213,-119.6864987944536,66.0,8.0,0.0
214,-150.2433948028014,64.0,8.0,0.0
215,-181.56438658803728,62.0,8.0,0.0
216,-213.25382846531346,60.0,8.0,0.0
217,-245.29807175718804,58.0,8.0,0.0
218,-277.6297660406874,56.0,8.0,0.0
219,-310.23744293277275,54.0,8.0,0.0
220,-343.11439388957456,52.0,8.0,0.0
221,-376.2510813610645,50.0,8.0,0.0
222,-409.6595923209254,48.0,8.0,0.0
223,-443.29038544086916,46.0,8.0,0.0
224,-477.11862584641995,44.0,8.0,0.0
225,-511.11712915695455,42.0,8.0,0.0
226,-545.2593924220096,40.0,8.0,0.0
227,-579.5220026623581,38.0,8.0,0.0
228,-613.8874668425428,36.0,8.0,0.0
229,-648.3440275347405,34.0,8.0,0.0
230,-682.8866481891811,32.0,8.0,0.0
231,-717.5153886300318,30.0,8.0,0.0
232,-752.2331777110372,28.0,8.0,0.0
233,-787.0431529412908,26.0,8.0,0.0
234,-821.9467306029843,24.0,8.0,0.0
235,-856.9422722589926,22.0,8.0,0.0
236,-892.0263165485466,20.0,8.0,0.0
237,-927.1957742815018,18.0,8.0,0.0
238,-962.4619971256086,16.0,8.0,0.0
239,-997.8432047886922,14.0,8.0,0.0
240,-1033.4935687565057,12.0,8.0,0.0
241,-1069.4077626059545,10.0,8.0,0.0
242,-1106.9757853106676,8.0,8.0,0.0
243,-1143.8770208019957,6.0,8.0,0.0
244,-1192.4922930193795,4.0,8.0,0.0
245,-1207.268252255883,2.0,8.0,0.0
246,-426.1432086044066,98.0,6.0,0.0
247,-403.8456335053008,96.0,6.0,0.0
248,-381.2031414001332,94.0,6.0,0.0
249,-358.1252522128883,92.0,6.0,0.0
250,-334.5557158042341,90.0,6.0,0.0
251,-310.50558691083506,88.0,6.0,0.0
252,-286.05790882345264,86.0,6.0,0.0
253,-261.16712636748105,84.0,6.0,0.0
254,-235.8312843994758,82.0,6.0,0.0
255,-210.13374853488176,80.0,6.0,0.0
256,-184.05558551444727,78.0,6.0,0.0
257,-157.68040915238797,76.0,6.0,0.0
258,-131.1354315489719,74.0,6.0,0.0
259,-104.76271283063551,72.0,6.0,0.0
260,-83.64846588098857,70.0,6.0,0.0
261,-90.05090166322493,68.0,6.0,0.0
262,-118.73601901710141,66.0,6.0,0.0
263,-149.4141143174274,64.0,6.0,0.0
264,-180.86463211638159,62.0,6.0,0.0
265,-212.6506995032816,60.0,6.0,0.0
266,-244.76517573526573,58.0,6.0,0.0
267,-277.1534839863109,56.0,6.0,0.0
268,-309.80606715993383,54.0,6.0,0.0
269,-342.7191634993021,52.0,6.0,0.0
270,-375.88482290130077,50.0,6.0,0.0
271,-409.31694645260575,48.0,6.0,0.0
272,-442.9678313563487,46.0,6.0,0.0
