NodeID,Time_of_SVM_Max,X,Y,Z
197,0.01809,98.0,8.0,0.0
198,0.01809,96.0,8.0,0.0
199,0.01808,94.0,8.0,0.0
200,0.01808,92.0,8.0,0.0
201,0.01807,90.0,8.0,0.0
202,0.01807,88.0,8.0,0.0
203,0.01807,86.0,8.0,0.0
204,0.01807,84.0,8.0,0.0
205,0.01807,82.0,8.0,0.0
206,0.01806,80.0,8.0,0.0
207,0.01806,78.0,8.0,0.0
208,0.01806,76.0,8.0,0.0
209,0.01806,74.0,8.0,0.0
210,0.01806,72.0,8.0,0.0
211,0.01806,70.0,8.0,0.0
212,0.01806,68.0,8.0,0.0
213,0.01806,66.0,8.0,0.0
214,0.01806,64.0,8.0,0.0
215,0.01806,62.0,8.0,0.0
216,0.01806,60.0,8.0,0.0
217,0.01492,58.0,8.0,0.0
218,0.01492,56.0,8.0,0.0
219,0.01492,54.0,8.0,0.0
220,0.01492,52.0,8.0,0.0
221,0.01492,50.0,8.0,0.0
222,0.01492,48.0,8.0,0.0
223,0.01492,46.0,8.0,0.0
224,0.01492,44.0,8.0,0.0
225,0.01492,42.0,8.0,0.0
226,0.01492,40.0,8.0,0.0
227,0.01492,38.0,8.0,0.0
228,0.01492,36.0,8.0,0.0
229,0.01651,34.0,8.0,0.0
230,0.01651,32.0,8.0,0.0
231,0.0165,30.0,8.0,0.0
232,0.01573,28.0,8.0,0.0
233,0.01572,26.0,8.0,0.0
234,0.01572,24.0,8.0,0.0
235,0.01572,22.0,8.0,0.0
236,0.01572,20.0,8.0,0.0
237,0.01572,18.0,8.0,0.0
238,0.01572,16.0,8.0,0.0
239,0.01572,14.0,8.0,0.0
240,0.01727,12.0,8.0,0.0
241,0.01726,10.0,8.0,0.0
242,0.01726,8.0,8.0,0.0
243,0.01726,6.0,8.0,0.0
244,0.01726,4.0,8.0,0.0
245,0.01726,2.0,8.0,0.0
246,0.01809,98.0,6.0,0.0
247,0.01809,96.0,6.0,0.0
248,0.01808,94.0,6.0,0.0
249,0.01808,92.0,6.0,0.0
250,0.01807,90.0,6.0,0.0
251,0.01807,88.0,6.0,0.0
252,0.01807,86.0,6.0,0.0
253,0.01807,84.0,6.0,0.0
254,0.01807,82.0,6.0,0.0
255,0.01806,80.0,6.0,0.0
256,0.01806,78.0,6.0,0.0
257,0.01806,76.0,6.0,0.0
258,0.01806,74.0,6.0,0.0
259,0.01806,72.0,6.0,0.0
260,0.01806,70.0,6.0,0.0
261,0.01806,68.0,6.0,0.0
262,0.01806,66.0,6.0,0.0
263,0.01806,64.0,6.0,0.0
264,0.01806,62.0,6.0,0.0
265,0.01806,60.0,6.0,0.0
266,0.01492,58.0,6.0,0.0
267,0.01492,56.0,6.0,0.0
268,0.01492,54.0,6.0,0.0
269,0.01492,52.0,6.0,0.0
270,0.01492,50.0,6.0,0.0
271,0.01492,48.0,6.0,0.0
272,0.01492,46.0,6.0,0.0
273,0.01492,44.0,6.0,0.0
274,0.01492,42.0,6.0,0.0
275,0.01492,40.0,6.0,0.0
276,0.01492,38.0,6.0,0.0
277,0.01492,36.0,6.0,0.0
278,0.01651,34.0,6.0,0.0
279,0.01651,32.0,6.0,0.0
280,0.0165,30.0,6.0,0.0
281,0.01596,28.0,6.0,0.0
282,0.01572,26.0,6.0,0.0
283,0.01572,24.0,6.0,0.0
284,0.01572,22.0,6.0,0.0
285,0.01572,20.0,6.0,0.0
286,0.01572,18.0,6.0,0.0
287,0.01572,16.0,6.0,0.0
288,0.01572,14.0,6.0,0.0
289,0.01727,12.0,6.0,0.0
290,0.01726,10.0,6.0,0.0
291,0.01726,8.0,6.0,0.0
292,0.01726,6.0,6.0,0.0
293,0.01726,4.0,6.0,0.0
294,0.01726,2.0,6.0,0.0
295,0.01809,98.0,4.0,0.0
296,0.01809,96.0,4.0,0.0
297,0.01808,94.0,4.0,0.0
298,0.01808,92.0,4.0,0.0
299,0.01807,90.0,4.0,0.0
300,0.01807,88.0,4.0,0.0
301,0.01807,86.0,4.0,0.0
302,0.01807,84.0,4.0,0.0
303,0.01807,82.0,4.0,0.0
304,0.01806,80.0,4.0,0.0
305,0.01806,78.0,4.0,0.0
306,0.01806,76.0,4.0,0.0
307,0.01806,74.0,4.0,0.0
308,0.01806,72.0,4.0,0.0
309,0.01806,70.0,4.0,0.0
310,0.01806,68.0,4.0,0.0
311,0.01806,66.0,4.0,0.0
312,0.01806,64.0,4.0,0.0
313,0.01806,62.0,4.0,0.0
314,0.01806,60.0,4.0,0.0
315,0.01492,58.0,4.0,0.0
316,0.01492,56.0,4.0,0.0
317,0.01492,54.0,4.0,0.0
318,0.01492,52.0,4.0,0.0
319,0.01492,50.0,4.0,0.0
320,0.01492,48.0,4.0,0.0
321,0.01492,46.0,4.0,0.0
322,0.01492,44.0,4.0,0.0
323,0.01492,42.0,4.0,0.0
324,0.01492,40.0,4.0,0.0
325,0.01492,38.0,4.0,0.0
326,0.01492,36.0,4.0,0.0
327,0.01651,34.0,4.0,0.0
328,0.01651,32.0,4.0,0.0
329,0.0165,30.0,4.0,0.0
330,0.01596,28.0,4.0,0.0
331,0.01572,26.0,4.0,0.0
332,0.01572,24.0,4.0,0.0
333,0.01572,22.0,4.0,0.0
334,0.01572,20.0,4.0,0.0
335,0.01572,18.0,4.0,0.0
336,0.01572,16.0,4.0,0.0
337,0.01572,14.0,4.0,0.0
338,0.01727,12.0,4.0,0.0
339,0.01726,10.0,4.0,0.0
340,0.01726,8.0,4.0,0.0
341,0.01726,6.0,4.0,0.0
342,0.01726,4.0,4.0,0.0
343,0.01726,2.0,4.0,0.0
344,0.01809,98.0,2.0,0.0
345,0.01809,96.0,2.0,0.0
346,0.01808,94.0,2.0,0.0
347,0.01808,92.0,2.0,0.0
348,0.01807,90.0,2.0,0.0
349,0.01807,88.0,2.0,0.0
350,0.01807,86.0,2.0,0.0
351,0.01807,84.0,2.0,0.0
352,0.01807,82.0,2.0,0.0
353,0.01806,80.0,2.0,0.0
354,0.01806,78.0,2.0,0.0
355,0.01806,76.0,2.0,0.0
356,0.01806,74.0,2.0,0.0
357,0.01806,72.0,2.0,0.0
358,0.01806,70.0,2.0,0.0
359,0.01806,68.0,2.0,0.0
360,0.01806,66.0,2.0,0.0
361,0.01806,64.0,2.0,0.0
362,0.01806,62.0,2.0,0.0
363,0.01806,60.0,2.0,0.0
364,0.01492,58.0,2.0,0.0
365,0.01492,56.0,2.0,0.0
366,0.01492,54.0,2.0,0.0
367,0.01492,52.0,2.0,0.0
368,0.01492,50.0,2.0,0.0
369,0.01492,48.0,2.0,0.0
370,0.01492,46.0,2.0,0.0
371,0.01492,44.0,2.0,0.0
372,0.01492,42.0,2.0,0.0
373,0.01492,40.0,2.0,0.0
374,0.01492,38.0,2.0,0.0
375,0.01492,36.0,2.0,0.0
376,0.01651,34.0,2.0,0.0
377,0.01651,32.0,2.0,0.0
378,0.0165,30.0,2.0,0.0
379,0.01573,28.0,2.0,0.0
380,0.01572,26.0,2.0,0.0
381,0.01572,24.0,2.0,0.0
382,0.01572,22.0,2.0,0.0
383,0.01572,20.0,2.0,0.0
384,0.01572,18.0,2.0,0.0
385,0.01572,16.0,2.0,0.0
386,0.01572,14.0,2.0,0.0
387,0.01727,12.0,2.0,0.0
388,0.01726,10.0,2.0,0.0
389,0.01726,8.0,2.0,0.0
390,0.01726,6.0,2.0,0.0
391,0.01726,4.0,2.0,0.0
392,0.01726,2.0,2.0,0.0
393,0.01726,2.0,2.0,-2.0
394,0.01726,4.0,2.0,-2.0
395,0.01726,6.0,2.0,-2.0
396,0.01726,8.0,2.0,-2.0
397,0.01726,10.0,2.0,-2.0
398,0.01727,12.0,2.0,-2.0
399,0.01572,14.0,2.0,-2.0
400,0.01572,16.0,2.0,-2.0
401,0.01572,18.0,2.0,-2.0
402,0.01572,20.0,2.0,-2.0
403,0.01572,22.0,2.0,-2.0
404,0.01572,24.0,2.0,-2.0
405,0.01572,26.0,2.0,-2.0
406,0.01573,28.0,2.0,-2.0
407,0.0165,30.0,2.0,-2.0
408,0.01651,32.0,2.0,-2.0
409,0.01651,34.0,2.0,-2.0
410,0.01492,36.0,2.0,-2.0
411,0.01492,38.0,2.0,-2.0
412,0.01492,40.0,2.0,-2.0
413,0.01492,42.0,2.0,-2.0
414,0.01492,44.0,2.0,-2.0
415,0.01492,46.0,2.0,-2.0
416,0.01492,48.0,2.0,-2.0
417,0.01492,50.0,2.0,-2.0
418,0.01492,52.0,2.0,-2.0
419,0.01492,54.0,2.0,-2.0
420,0.01492,56.0,2.0,-2.0
421,0.01492,58.0,2.0,-2.0
422,0.01806,60.0,2.0,-2.0
423,0.01806,62.0,2.0,-2.0
424,0.01806,64.0,2.0,-2.0
425,0.01806,66.0,2.0,-2.0
426,0.01806,68.0,2.0,-2.0
427,0.01806,70.0,2.0,-2.0
428,0.01806,72.0,2.0,-2.0
429,0.01806,74.0,2.0,-2.0
430,0.01806,76.0,2.0,-2.0
431,0.01806,78.0,2.0,-2.0
432,0.01806,80.0,2.0,-2.0
433,0.01807,82.0,2.0,-2.0
434,0.01807,84.0,2.0,-2.0
435,0.01807,86.0,2.0,-2.0
436,0.01807,88.0,2.0,-2.0
437,0.01807,90.0,2.0,-2.0
438,0.01808,92.0,2.0,-2.0
439,0.01808,94.0,2.0,-2.0
440,0.01809,96.0,2.0,-2.0
441,0.01809,98.0,2.0,-2.0
442,0.01726,2.0,4.0,-2.0
443,0.01726,4.0,4.0,-2.0
444,0.01726,6.0,4.0,-2.0
445,0.01726,8.0,4.0,-2.0
446,0.01726,10.0,4.0,-2.0
447,0.01727,12.0,4.0,-2.0
448,0.01572,14.0,4.0,-2.0
449,0.01572,16.0,4.0,-2.0
450,0.01572,18.0,4.0,-2.0
451,0.01572,20.0,4.0,-2.0
452,0.01572,22.0,4.0,-2.0
453,0.01572,24.0,4.0,-2.0
454,0.01572,26.0,4.0,-2.0
455,0.01596,28.0,4.0,-2.0
456,0.0165,30.0,4.0,-2.0
457,0.01651,32.0,4.0,-2.0
458,0.01651,34.0,4.0,-2.0
459,0.01492,36.0,4.0,-2.0
460,0.01492,38.0,4.0,-2.0
461,0.01492,40.0,4.0,-2.0
462,0.01492,42.0,4.0,-2.0
463,0.01492,44.0,4.0,-2.0
464,0.01492,46.0,4.0,-2.0
465,0.01492,48.0,4.0,-2.0
466,0.01492,50.0,4.0,-2.0
467,0.01492,52.0,4.0,-2.0
468,0.01492,54.0,4.0,-2.0
469,0.01492,56.0,4.0,-2.0
470,0.01492,58.0,4.0,-2.0
471,0.01806,60.0,4.0,-2.0
472,0.01806,62.0,4.0,-2.0
473,0.01806,64.0,4.0,-2.0
